INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../rx_src/receiver.cpp in debug mode
 51 inputs actual: 0.655597 0.094462
 52 inputs actual: 0.847696 0.184725
 53 inputs actual: -1.278867 -0.131428
 54 inputs actual: 0.201446 -0.300002
 55 inputs actual: 1.031406 -0.099167
 56 inputs actual: -0.549431 0.352900
 57 inputs actual: -0.098857 0.087520
 58 inputs actual: -0.482659 0.027422
 59 inputs actual: 0.024684 -0.224397
 60 inputs actual: -0.070293 -0.016022
 61 inputs actual: 0.260313 0.126139
 62 inputs actual: 0.468102 -0.186640
 63 inputs actual: -0.534484 0.135502
 64 inputs actual: 0.644369 0.138370
 65 inputs actual: 0.352588 -0.404403
 66 inputs actual: 0.489739 0.334689
 67 inputs actual: -0.442242 -0.132926
 68 inputs actual: 0.261218 -0.191184
 69 inputs actual: -0.256164 0.225233
 70 inputs actual: 0.107371 -0.110033
 71 inputs actual: 0.306162 0.039809
 72 inputs actual: -0.240254 -0.361820
 73 inputs actual: 0.213526 -0.052073
 74 inputs actual: -0.192391 -0.014480
 75 inputs actual: 0.270470 0.246894
 76 inputs actual: -0.145709 0.031980
 77 inputs actual: -0.097716 -0.236015
 78 inputs actual: -0.091852 0.180700
 79 inputs actual: 0.133402 -0.191096
 80 inputs actual: -0.025456 0.321032
 81 inputs actual: -0.120514 -0.295060
 82 inputs actual: 0.136799 -0.229590
 83 inputs actual: 0.205585 -0.100890
 84 inputs actual: -0.049415 0.096457
 85 inputs actual: 0.304679 0.145996
 86 inputs actual: 0.127470 -0.116245
 87 inputs actual: -0.541007 0.189485
 88 inputs actual: 0.060981 -0.026796
 89 inputs actual: -0.006210 0.081683
 90 inputs actual: -0.119305 0.288938
 91 inputs actual: 0.115380 -0.713249
 92 inputs actual: 0.004920 -0.130755
 93 inputs actual: -0.108044 0.341873
 94 inputs actual: 0.309285 0.434557
 95 inputs actual: 0.419218 0.088191
 96 inputs actual: -0.012220 -0.113167
 97 inputs actual: -0.007714 0.234751
 98 inputs actual: -0.746952 -0.037102
 99 inputs actual: -0.421312 -0.047972
 100 inputs actual: 0.692517 -0.433112
 101 inputs actual: 0.303808 -0.760792
 102 inputs actual: -0.326446 0.591224
 103 inputs actual: 1.001631 0.175366
 104 inputs actual: 0.059872 0.444934
 105 inputs actual: -0.384090 0.653878
 106 inputs actual: -0.241760 0.307020
 107 inputs actual: 0.384732 -0.214666
 108 inputs actual: -0.367272 0.526306
 109 inputs actual: -0.220941 -0.259031
 110 inputs actual: 0.953124 -0.641760
 111 inputs actual: -0.440372 -0.412523
 112 inputs actual: 0.540606 0.111416
 113 inputs actual: -0.225521 0.188593
 114 inputs actual: -0.137950 0.139436
 115 inputs actual: 0.013409 0.681504
 116 inputs actual: 0.057101 0.100682
 117 inputs actual: 0.179344 -0.585077
 118 inputs actual: 0.034160 0.228499
 119 inputs actual: 0.397356 -0.204107
 120 inputs actual: 0.298355 -0.387313
 121 inputs actual: -0.249060 -0.422480
 122 inputs actual: -0.775498 0.531860
 123 inputs actual: 0.500356 0.009325
 124 inputs actual: 0.352411 0.283096
 125 inputs actual: -0.092770 -0.261546
 126 inputs actual: 0.783698 0.021968
 127 inputs actual: -0.200059 0.009791
 128 inputs actual: 0.008356 -1.074916
 129 inputs actual: 0.418973 -0.269726
 130 inputs actual: 0.057678 0.412731
 131 inputs actual: -0.154757 0.236842
 132 inputs actual: -0.103588 -0.694233
 133 inputs actual: 0.542322 0.363685
 134 inputs actual: 0.553510 1.078965
 135 inputs actual: 0.066591 -0.111520
 136 inputs actual: -0.749084 -0.196856
 137 inputs actual: -0.029703 -0.083715
 138 inputs actual: 0.751488 0.399064
 139 inputs actual: -0.682231 -0.150001
 140 inputs actual: -0.036184 0.720750
 141 inputs actual: 0.138016 -0.097319
 142 inputs actual: -0.400475 -0.821805
 143 inputs actual: -0.268631 0.322769
 144 inputs actual: 0.367042 1.072867
 145 inputs actual: -0.093598 -0.455850
 146 inputs actual: -1.088802 -0.478657
 147 inputs actual: 1.377613 0.784246
 148 inputs actual: 0.508029 -0.010458
 149 inputs actual: 0.270013 0.155190
 150 inputs actual: -0.015461 0.186293
 151 inputs actual: 0.465238 -0.504927
 152 inputs actual: -0.660832 0.847100
 153 inputs actual: -0.222036 0.053042
 154 inputs actual: 0.062533 0.049931
 155 inputs actual: 0.290094 0.376961
 156 inputs actual: 0.250680 -0.662897
 157 inputs actual: -0.383350 0.277717
 158 inputs actual: 0.329724 0.603139
 159 inputs actual: 0.648109 -0.805884
 160 inputs actual: 0.129667 -0.696216
 161 inputs actual: -0.886668 1.181423
 162 inputs actual: -0.253568 -0.379232
 163 inputs actual: 0.400877 -0.348155
 164 inputs actual: 1.147053 0.077278
 165 inputs actual: -0.265157 0.139155
 166 inputs actual: -0.743743 0.313001
 167 inputs actual: 0.144134 0.297448
 168 inputs actual: 0.174005 0.217279
 169 inputs actual: -0.818807 -0.221638
 170 inputs actual: 0.304164 -0.629281
 171 inputs actual: -0.199009 0.473485
 172 inputs actual: -0.659832 0.409400
 173 inputs actual: 0.497207 -1.167699
 174 inputs actual: 0.529115 -0.105590
 175 inputs actual: -0.136465 0.869298
 176 inputs actual: 0.523015 -0.731026
 177 inputs actual: 0.120097 -0.260721
 178 inputs actual: -1.349112 0.190299
 179 inputs actual: 0.059242 -0.244115
 180 inputs actual: -0.133249 1.045170
 181 inputs actual: 0.087369 0.198604
 182 inputs actual: 0.271067 -0.742867
 183 inputs actual: -0.389369 -0.128942
 184 inputs actual: -0.512941 0.974970
 185 inputs actual: -0.182694 -0.460513
 186 inputs actual: 0.574166 -0.562892
 187 inputs actual: -0.372028 -0.240677
 188 inputs actual: -0.133724 0.697230
 189 inputs actual: -0.443771 -0.010855
 190 inputs actual: 0.636965 -0.850222
 191 inputs actual: 0.103882 -0.052745
 192 inputs actual: -0.471200 -0.047898
 193 inputs actual: -0.063713 -0.354436
 194 inputs actual: 0.062848 0.986309
 195 inputs actual: 0.195006 -0.760532
 196 inputs actual: -0.560168 -0.405760
 197 inputs actual: 0.287416 1.255674
 198 inputs actual: -0.851572 -0.488113
 199 inputs actual: 0.332758 0.196891
 200 inputs actual: 0.144149 -0.712861
 201 inputs actual: -1.228328 -0.422250
 202 inputs actual: 0.333119 -1.012361
 203 inputs actual: 0.857616 1.046843
 204 inputs actual: -0.510133 0.655063
 205 inputs actual: 0.775811 -0.958717
 206 inputs actual: -0.272634 -0.299786
 207 inputs actual: 0.161924 1.020160
 208 inputs actual: 0.101654 1.012770
 209 inputs actual: -0.228647 -0.623617
 210 inputs actual: 0.566113 -0.280173
 211 inputs actual: -0.721282 0.488109
 212 inputs actual: -0.144087 -0.245581
 213 inputs actual: 0.250047 -0.185372
 214 inputs actual: 0.627545 -0.198629
 215 inputs actual: -1.334104 0.500458
 216 inputs actual: 0.650096 0.386207
 217 inputs actual: 0.439855 -0.770099
 218 inputs actual: -0.586360 0.177726
 219 inputs actual: 0.101128 0.108170
 220 inputs actual: -0.815923 -0.653105
 221 inputs actual: 0.612107 0.630945
 222 inputs actual: 0.027978 -0.191153
 223 inputs actual: 0.034530 -0.629674
 224 inputs actual: -0.554794 0.368525
 225 inputs actual: 0.089830 0.226113
 226 inputs actual: 0.421513 -0.215568
size 1
preamble_symbolsI 0.0741326
preamble_symbolsI 0.0907208
preamble_symbolsI -0.000786825
preamble_symbolsI 0.660342
preamble_symbolsI -0.0712282
preamble_symbolsI -0.26937
preamble_symbolsI 0.638681
preamble_symbolsI 0.218027
preamble_symbolsI -1.55538
preamble_symbolsI -0.817057
preamble_symbolsI 0.225227
preamble_symbolsI 0.26887
preamble_symbolsI 1.3098
preamble_symbolsI -1.15616
preamble_symbolsI -0.845631
preamble_symbolsI 0.639837
preamble_symbolsI 1.25899
preamble_symbolsI 0.292563
preamble_symbolsI -1.58873
preamble_symbolsI 0.192682
preamble_symbolsI 1.01613
preamble_symbolsI -0.448249
preamble_symbolsI 0.026724
preamble_symbolsI 0.310866
preamble_symbolsI -0.526703
preamble_symbolsI 0.259062
preamble_symbolsI -0.239967
preamble_symbolsI -0.354452
preamble_symbolsI -0.243553
preamble_symbolsI 0.631852
preamble_symbolsI 0.886956
preamble_symbolsI -0.152108
preamble_symbolsI 0.858182
preamble_symbolsI 0.108811
preamble_symbolsI 0.42933
preamble_symbolsI -0.990128
preamble_symbolsI 0.0733339
preamble_symbolsI 0.0773588
preamble_symbolsI -0.948514
preamble_symbolsI 0.22226
preamble_symbolsI 0.754763
preamble_symbolsI 1.45404
preamble_symbolsI 0.529511
preamble_symbolsI -0.436555
preamble_symbolsI -1.05608
preamble_symbolsI 1.19071
preamble_symbolsI 0.0953826
preamble_symbolsI -1.27102
preamble_symbolsI 0.164569
preamble_symbolsI 0.868677
preamble_symbolsI -0.766569
preamble_symbolsI 0.655597
preamble_symbolsI 0.847696
preamble_symbolsI -1.27887
preamble_symbolsI 0.201446
preamble_symbolsI 1.03141
preamble_symbolsI -0.549431
preamble_symbolsI -0.0988572
preamble_symbolsI -0.482659
preamble_symbolsI 0.0246836
preamble_symbolsI -0.0702925
preamble_symbolsI 0.260313
preamble_symbolsI 0.468102
preamble_symbolsI -0.534484
payloadSize 131
payload_symbolsI -0.0122197
payload_symbolsI -0.00771389
payload_symbolsI -0.746952
payload_symbolsI -0.421312
payload_symbolsI 0.692517
payload_symbolsI 0.303808
payload_symbolsI -0.326446
payload_symbolsI 1.00163
payload_symbolsI 0.0598723
payload_symbolsI -0.38409
payload_symbolsI -0.24176
payload_symbolsI 0.384732
payload_symbolsI -0.367272
payload_symbolsI -0.220941
payload_symbolsI 0.953124
payload_symbolsI -0.440372
payload_symbolsI 0.540606
payload_symbolsI -0.225521
payload_symbolsI -0.13795
payload_symbolsI 0.0134092
payload_symbolsI 0.057101
payload_symbolsI 0.179344
payload_symbolsI 0.03416
payload_symbolsI 0.397356
payload_symbolsI 0.298355
payload_symbolsI -0.24906
payload_symbolsI -0.775498
payload_symbolsI 0.500356
payload_symbolsI 0.352411
payload_symbolsI -0.09277
payload_symbolsI 0.783698
payload_symbolsI -0.200059
payload_symbolsI 0.00835594
payload_symbolsI 0.418973
payload_symbolsI 0.0576779
payload_symbolsI -0.154757
payload_symbolsI -0.103588
payload_symbolsI 0.542322
payload_symbolsI 0.55351
payload_symbolsI 0.0665913
payload_symbolsI -0.749084
payload_symbolsI -0.0297032
payload_symbolsI 0.751488
payload_symbolsI -0.682231
payload_symbolsI -0.0361841
payload_symbolsI 0.138016
payload_symbolsI -0.400475
payload_symbolsI -0.268631
payload_symbolsI 0.367042
payload_symbolsI -0.0935976
payload_symbolsI -1.0888
payload_symbolsI 1.37761
payload_symbolsI 0.508029
payload_symbolsI 0.270013
payload_symbolsI -0.0154607
payload_symbolsI 0.465238
payload_symbolsI -0.660832
payload_symbolsI -0.222036
payload_symbolsI 0.062533
payload_symbolsI 0.290094
payload_symbolsI 0.25068
payload_symbolsI -0.38335
payload_symbolsI 0.329724
payload_symbolsI 0.648109
payload_symbolsI 0.129667
payload_symbolsI -0.886668
payload_symbolsI -0.253568
payload_symbolsI 0.400877
payload_symbolsI 1.14705
payload_symbolsI -0.265157
payload_symbolsI -0.743743
payload_symbolsI 0.144134
payload_symbolsI 0.174005
payload_symbolsI -0.818807
payload_symbolsI 0.304164
payload_symbolsI -0.199009
payload_symbolsI -0.659832
payload_symbolsI 0.497207
payload_symbolsI 0.529115
payload_symbolsI -0.136465
payload_symbolsI 0.523015
payload_symbolsI 0.120097
payload_symbolsI -1.34911
payload_symbolsI 0.0592418
payload_symbolsI -0.133249
payload_symbolsI 0.0873688
payload_symbolsI 0.271067
payload_symbolsI -0.389369
payload_symbolsI -0.512941
payload_symbolsI -0.182694
payload_symbolsI 0.574166
payload_symbolsI -0.372028
payload_symbolsI -0.133724
payload_symbolsI -0.443771
payload_symbolsI 0.636965
payload_symbolsI 0.103882
payload_symbolsI -0.4712
payload_symbolsI -0.0637135
payload_symbolsI 0.0628485
payload_symbolsI 0.195006
payload_symbolsI -0.560168
payload_symbolsI 0.287416
payload_symbolsI -0.851572
payload_symbolsI 0.332758
payload_symbolsI 0.144149
payload_symbolsI -1.22833
payload_symbolsI 0.333119
payload_symbolsI 0.857616
payload_symbolsI -0.510133
payload_symbolsI 0.775811
payload_symbolsI -0.272634
payload_symbolsI 0.161924
payload_symbolsI 0.101654
payload_symbolsI -0.228647
payload_symbolsI 0.566113
payload_symbolsI -0.721282
payload_symbolsI -0.144087
payload_symbolsI 0.250047
payload_symbolsI 0.627545
payload_symbolsI -1.3341
payload_symbolsI 0.650096
payload_symbolsI 0.439855
payload_symbolsI -0.58636
payload_symbolsI 0.101128
payload_symbolsI -0.815923
payload_symbolsI 0.612107
payload_symbolsI 0.0279778
payload_symbolsI 0.0345297
payload_symbolsI -0.554794
payload_symbolsI 0.0898304
payload_symbolsI 0.421513
m 64
n 32
m 64
n 32
0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 0 
1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 0 
-0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 0 
0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 0 
0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 0 
-0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 0 
0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 0 
-0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 0 
-0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 0 
-0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 0 
0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 0 
0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 0 
-0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 0.0741326 
0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 0.0907208 
0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 -0.000786825 
0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 0.660342 
-0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 -0.0712282 
0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 -0.26937 
0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 0.638681 
-0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 0.218027 
0.22226 -0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 -1.55538 
0.754763 0.22226 -0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 -0.817057 
1.45404 0.754763 0.22226 -0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 0.225227 
0.529511 1.45404 0.754763 0.22226 -0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 0.26887 
-0.436555 0.529511 1.45404 0.754763 0.22226 -0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 1.3098 
-1.05608 -0.436555 0.529511 1.45404 0.754763 0.22226 -0.948514 0.0773588 0.0733339 -0.990128 0.42933 0.108811 0.858182 -0.152108 0.886956 0.631852 -0.243553 -0.354452 -0.239967 0.259062 -0.526703 0.310866 0.026724 -0.448249 1.01613 0.192682 -1.58873 0.292563 1.25899 0.639837 -0.845631 -1.15616 
